topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
85,Pride In Accomplishments,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.19555555555555557,0.008813069923014817,0.00905829497519696,1.0
86,City Apartment Lease Negotiation,82,33,Tia_Louise,3,0.036585365853658534,0.07317073170731707,False,0.0,low,0.06222222222222222,0.00167610591687466,0.0016088842001011862,0.8913043478260869
88,Missed Opportunity Regret,71,33,Alexa_Riley,3,0.04225352112676056,0.08450704225352113,False,0.0,low,0.21333333333333335,0.0013396870494742047,0.0011810014902593363,0.7717391304347826
89,Emotional Argument,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.22666666666666666,0.0027919231084809525,0.002521912483871922,1.0
90,Medical Appointment At Hospital,30,15,L_Steele,3,0.1,0.2,False,0.0,low,0.15333333333333332,0.000812600631839745,0.0006816961149849005,0.32608695652173914
91,Vivid Childhood Memories,85,33,Tia_Louise,3,0.03529411764705882,0.07058823529411765,False,0.0,low,0.051111111111111114,0.0020016948161489887,0.0017682028380003089,0.9239130434782609
92,Luxury Hotel Suite,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.2311111111111111,0.003499295547477326,0.003094221452263776,1.0
93,Family Apologies And Reconciliation,90,33,Alexa_Riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.23777777777777778,0.0017753574098220127,0.0020992373158301475,0.9782608695652174
94,Anger Management In Relationship,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.006666666666666667,0.0035516679808580186,0.00357999189674167,1.0
95,Work-related Evening Call,5,3,Louise_Bay,3,0.6,0.8,True,0.6666666666666666,high,0.28888888888888886,0.00036906092097488776,0.0003226455916411357,0.05434782608695652
96,Whispered Love Confessions,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.2088888888888889,0.004234823011774086,0.005572720913941731,0.9891304347826086
97,Eyes Closed In Intimacy,86,32,Alexa_Riley,3,0.03488372093023256,0.06976744186046512,False,0.0,low,0.3422222222222222,0.0028614011338046015,0.002069238864347458,0.9347826086956522
98,Parental Warning About Engagement,2,1,Ana_Huang,2,1.0,1.0,True,0.5,high,0.24666666666666667,0.000289708272118543,0.00026065685073322394,0.021739130434782608
99,Desire And Regret Conversation,90,33,Alexa_Riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.20444444444444446,0.002780610736111953,0.00255461151256343,0.9782608695652174
100,Gifting White Roses,73,32,Tia_Louise,3,0.0410958904109589,0.0821917808219178,False,0.0,low,0.22444444444444445,0.0013438448660770925,0.0011382076961136776,0.7934782608695652
101,Sister's Tragic Letters,18,9,Jessica_Clare,3,0.16666666666666666,0.3333333333333333,False,0.0,low,0.21555555555555556,0.0007728440401163113,0.0006996554386261046,0.1956521739130435
102,Hair Tugging During game,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.24222222222222223,0.005087209349106225,0.0038596654544973707,1.0
103,Nude Bed Scene,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.10666666666666667,0.00287367111779513,0.0029626423543319745,1.0
104,Sister's Confusing Admissions,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.03851851851851852,0.0006565143453902142,0.0006688087505595654,0.36594202898550726
105,Hurried Conversations,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.09555555555555556,0.0008840835227829242,0.0004935981756142529,0.4945652173913043
106,Nighttime Conversations,21,17,Leslie_North,2,0.09523809523809523,0.19047619047619047,False,0.0,low,0.23555555555555555,0.0009441873423958842,0.0008260895169700914,0.22826086956521738
108,Epic Love Confessions,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.17777777777777778,0.007448539899155894,0.0070839706574648935,1.0
109,Wealthy Businessman's Lifestyle,67,31,L_Steele,3,0.04477611940298507,0.08955223880597014,False,0.0,low,-0.08,0.0012108910185193219,0.0012641246185363776,0.7282608695652174
