topic,mean_trash,mean_middle,mean_top,H,p,q,significant,max_group,max_mean,eta2_kw
Relationships and Partners,0.3580402420786421,0.3489996306050213,0.4025292042497501,1.3033143084203402,0.521181382818999,0.7835943867558376,False,top,0.4025292042497501,0.0
Alcohol and Drinking,1.397869715579049,1.36006150546244,1.2905424226416775,0.9959469417833412,0.6077610580475703,0.8104034799415034,False,trash,1.397869715579049,0.0
Art and Paintings,0.0818868587328511,0.126962600909261,0.0811074304841696,0.9619892645136274,0.6181682358623561,0.8104034799415034,False,middle,0.126962600909261,0.0
Avoiding Difficult Truths,0.1020807853333792,0.0848805806411596,0.1038064859230939,0.967268999324078,0.6165385057676879,0.8104034799415034,False,top,0.1038064859230939,0.0
Bits and Pieces,0.0069641260278905,0.0102665838939182,0.0019140309117639,1.0478953840331269,0.592178190444336,0.8104034799415034,False,middle,0.0102665838939182,0.0
Cameras and Paparazzos,0.2739062639652365,0.3142747126833506,0.3306882254464007,1.1368880929121663,0.5664060549313665,0.8104034799415034,False,top,0.3306882254464007,0.0
Eyeglasses,0.0659331715508254,0.0702905917888432,0.0643444186010296,0.994204913349808,0.6082906571802313,0.8104034799415034,False,middle,0.0702905917888432,0.0
Fear and Anxiety,0.4712766610545301,0.4392955062567219,0.5574537125500466,1.0554378020850788,0.5899491684033314,0.8104034799415034,False,top,0.5574537125500466,0.0
Frowns and Displeased Expressions,0.4056175256694904,0.1501939906602851,0.215379927528413,0.9780698016031514,0.6132179248233363,0.8104034799415034,False,trash,0.4056175256694904,0.0
Goosebumps and Sensations,0.0688181245935236,0.0371810699658247,0.049990868991889,1.00498943449388,0.6050194230529095,0.8104034799415034,False,trash,0.0688181245935236,0.0
Hugs and Kisses,0.4437332790446414,0.4813677048079381,0.4697544371351064,1.1644509406562595,0.558653714845279,0.8104034799415034,False,middle,0.4813677048079381,0.0
