topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
198,Holiday Horseplay,2,1,l. steele,2,1.0,1.0,True,0.5,high,0.17777777777777778,0.0004543214444394552,0.0004049136892344341,0.021739130434782608
199,Apprehensive Password Exchange,4,2,stella rhys,3,0.75,1.0,True,0.6666666666666666,high,0.20222222222222222,0.00040924345516119833,0.0003932760134592742,0.043478260869565216
200,Siblings' Confusing Disclosure,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.14,0.0015172080672841018,0.0015275064202028687,0.9565217391304348
201,Jealousy Conversation,12,10,alexa riley,2,0.16666666666666666,0.3333333333333333,False,0.0,low,0.2822222222222222,0.0007570823868576573,0.0005302410607725852,0.13043478260869565
202,Hatred-fueled Argument,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.2911111111111111,0.004092852196087874,0.004513819987095438,1.0
203,Incessant Complaints About Broccoli,3,1,j. clare,3,1.0,1.0,True,0.6666666666666666,high,0.04666666666666667,0.0003729674966324408,0.0003724824701414815,0.03260869565217391
204,Forgetting And Reminding,18,11,l. steele,3,0.16666666666666666,0.2777777777777778,False,0.0,low,-0.03777777777777778,0.0007298229776395626,0.0007573519638861715,0.1956521739130435
206,Audience-focused Decision,1,1,leslie north,1,1.0,1.0,True,1.0,high,-0.06222222222222222,0.00035345047680278145,0.00034557558773523227,0.010869565217391304
207,Scent-induced Arousal,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.011111111111111112,0.002506947546250406,0.002507091590460002,1.0
208,Desperate Harem Offer,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.07555555555555556,0.0027802212582866796,0.002805389199871668,1.0
209,Clan Heir's Obsession,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.26666666666666666,0.0020821901450695833,0.001887625670018437,0.9565217391304348
210,Reunion Conversation In Car,8,5,k.a. linde,3,0.375,0.625,False,0.0,medium,0.24888888888888888,0.0006900070213806521,0.0006686450927191863,0.08695652173913043
211,Hair Play During Intimacy,85,33,alexa riley,3,0.03529411764705882,0.07058823529411765,False,0.0,low,-0.2088888888888889,0.002098295548918245,0.002774211717005426,0.9239130434782609
212,Office Work At Desk,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.21166666666666667,0.0020556598920946044,0.0018548485925502585,0.9836956521739131
214,Evasive Answers,3,1,meghan quinn,3,1.0,1.0,True,0.6666666666666666,high,0.35555555555555557,0.0003358821749137545,0.00030572341953495836,0.03260869565217391
215,Overprotective Ogre's Sudden Outburst,37,26,shain rose,2,0.05405405405405406,0.10810810810810811,False,0.0,low,0.05333333333333334,0.0009413854751059768,0.0009322893220330226,0.40217391304347827
216,Death And Suicide Conversations,89,33,alexa riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,0.19111111111111112,0.0023814668212375533,0.0022671344383760504,0.967391304347826
217,Snarky Banter In Morning,39,23,l.j. shen,3,0.07692307692307693,0.15384615384615385,False,0.0,low,0.2777777777777778,0.0009984169699103862,0.000762717025273106,0.42391304347826086
